Book Name,Author,Rating,Amount of Ratings,URL
"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,3.94,"251,360",https://www.goodreads.com/book/show/46000520-the-thursday-murder-club
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout(Goodreads Author),4.43,"225,369",https://www.goodreads.com/book/show/54319549-a-kingdom-of-flesh-and-fire
The Girl with the Louding Voice,Abi Daré,4.45,"119,079",https://www.goodreads.com/book/show/50214741-the-girl-with-the-louding-voice
"The Past (VanWest, #1)",Kenneth   Thomas,3.76,685,https://www.goodreads.com/book/show/53450218-the-past
The Night Watchman,Louise Erdrich,4.13,"52,993",https://www.goodreads.com/book/show/43721059-the-night-watchman
Greenlights,Matthew McConaughey(Goodreads Author),4.21,"206,113",https://www.goodreads.com/book/show/52838315-greenlights
The Book of Longings,Sue Monk Kidd(Goodreads Author),4.24,"102,103",https://www.goodreads.com/book/show/52698452-the-book-of-longings
"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty(Goodreads Author),4.51,"34,706",https://www.goodreads.com/book/show/52166786-the-empire-of-gold
Code Name Hélène,Ariel Lawhon(Goodreads Author),4.42,"31,726",https://www.goodreads.com/book/show/52791659-code-name-h-l-ne
Leaving Isn't the Hardest Thing,Lauren  Hough(Goodreads Author),3.26,"8,560",https://www.goodreads.com/book/show/54831125-leaving-isn-t-the-hardest-thing
28 Summers,Elin Hilderbrand(Goodreads Author),4.22,"146,255",https://www.goodreads.com/book/show/52588078-28-summers
Migrations,Charlotte McConaghy(Goodreads Author),4.16,"48,141",https://www.goodreads.com/book/show/42121525-migrations
Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker(Goodreads Author),4.15,"101,044",https://www.goodreads.com/book/show/50088631-hidden-valley-road
The City We Became (Great Cities #1),N.K. Jemisin(Goodreads Author),3.91,"52,563",https://www.goodreads.com/book/show/52882897-the-city-we-became
The Last Flight,Julie   Clark(Goodreads Author),4.11,"120,529",https://www.goodreads.com/book/show/52652923-the-last-flight
The Travelers Within: Into The Unknown,Daniel Mode(Goodreads Author),4.06,68,https://www.goodreads.com/book/show/54998072-the-travelers-within
"The Present (VanWest, #2)",Kenneth   Thomas,3.58,"2,721",https://www.goodreads.com/book/show/54775299-the-present
The Pull of the Stars,Emma Donoghue(Goodreads Author),3.97,"67,227",https://www.goodreads.com/book/show/52722079-the-pull-of-the-stars
Oona Out of Order,Margarita Montimore(Goodreads Author),3.85,"63,833",https://www.goodreads.com/book/show/45046893-oona-out-of-order
The Book of Lost Friends,Lisa Wingate(Goodreads Author),4.16,"84,516",https://www.goodreads.com/book/show/53025903-the-book-of-lost-friends
Ring Shout,P. Djèlí Clark(Goodreads Author),4.07,"21,744",https://www.goodreads.com/book/show/49247242-ring-shout
The Death of Vivek Oji,Akwaeke Emezi(Goodreads Author),4.15,"44,491",https://www.goodreads.com/book/show/48595550-the-death-of-vivek-oji
The Shadows,Alex North(Goodreads Author),3.75,"43,180",https://www.goodreads.com/book/show/48842144-the-shadows
"The Empress of Salt and Fortune (The Singing Hills Cycle, #1)",Nghi Vo(Goodreads Author),really liked it 4.00,"23,635",https://www.goodreads.com/book/show/51190882-the-empress-of-salt-and-fortune
The Switch,Beth O'Leary(Goodreads Author),3.99,"95,778",https://www.goodreads.com/book/show/45134200-the-switch
"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert(Goodreads Author),4.16,"64,664",https://www.goodreads.com/book/show/51824384-act-your-age-eve-brown
Redhead by the Side of the Road,Anne Tyler(Goodreads Author),3.62,"40,513",https://www.goodreads.com/book/show/46014983-redhead-by-the-side-of-the-road
The Maid,Nita Prose(Goodreads Author),3.86,"199,887",https://www.goodreads.com/book/show/55196813-the-maid
Billy Summers,Stephen King(Goodreads Author),4.24,"105,768",https://www.goodreads.com/book/show/56852407-billy-summers
"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas(Goodreads Author),3.97,"380,031",https://www.goodreads.com/book/show/54189398-the-spanish-love-deception
The Evening and the Morning,Ken Follett(Goodreads Author),4.38,"82,235",https://www.goodreads.com/book/show/49239093-the-evening-and-the-morning
"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson(Goodreads Author),4.61,"95,516",https://www.goodreads.com/book/show/49021976-rhythm-of-war
The Book of Two Ways,Jodi Picoult(Goodreads Author),3.66,"73,239",https://www.goodreads.com/book/show/50265329-the-book-of-two-ways
"The Burning God (The Poppy War, #3)",R.F. Kuang(Goodreads Author),4.34,"40,242",https://www.goodreads.com/book/show/45857086-the-burning-god
Loveless,Alice Oseman(Goodreads Author),4.29,"53,901",https://www.goodreads.com/book/show/42115981-loveless
The Hollow Places,T. Kingfisher,3.80,"17,932",https://www.goodreads.com/book/show/50897175-the-hollow-places
Under the Whispering Door,T.J. Klune(Goodreads Author),4.19,"102,555",https://www.goodreads.com/book/show/53205888-under-the-whispering-door
"Spoiler Alert (Spoiler Alert, #1)",Olivia Dade(Goodreads Author),3.71,"33,980",https://www.goodreads.com/book/show/50496918-spoiler-alert
The Push,Ashley Audrain(Goodreads Author),4.09,"215,084",https://www.goodreads.com/book/show/52476830-the-push
To Sleep in a Sea of Stars,Christopher Paolini(Goodreads Author),3.78,"42,465",https://www.goodreads.com/book/show/48829708-to-sleep-in-a-sea-of-stars
The Guncle,Steven  Rowley(Goodreads Author),4.18,"74,476",https://www.goodreads.com/book/show/54508798-the-guncle
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,3.82,"82,583",https://www.goodreads.com/book/show/54081499-too-much-and-never-enough
Afterlife,Julia Alvarez(Goodreads Author),3.71,"13,201",https://www.goodreads.com/book/show/52898645-afterlife
All Boys Aren't Blue,George M. Johnson,4.24,"24,147",https://www.goodreads.com/book/show/44280883-all-boys-aren-t-blue
"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas(Goodreads Author),4.33,"63,260",https://www.goodreads.com/book/show/52339313-cemetery-boys
People We Meet on Vacation,Emily Henry(Goodreads Author),3.96,"660,867",https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation
Grown,Tiffany D. Jackson(Goodreads Author),4.27,"24,768",https://www.goodreads.com/book/show/49397758-grown
"Come Tumbling Down (Wayward Children, #5)",Seanan McGuire(Goodreads Author),3.92,"20,127",https://www.goodreads.com/book/show/44804083-come-tumbling-down
The Book of Lost Names,Kristin Harmel(Goodreads Author),4.40,"122,085",https://www.goodreads.com/book/show/53901282-the-book-of-lost-names
The Last Train to Key West,Chanel Cleeton(Goodreads Author),4.10,"28,000",https://www.goodreads.com/book/show/52777855-the-last-train-to-key-west
"The Hourglass Throne (The Tarot Sequence, #3)",K.D. Edwards(Goodreads Author),4.63,"2,140",https://www.goodreads.com/book/show/59365449-the-hourglass-throne
"Vagina Problems: Endometriosis, Painful Sex, and Other Taboo Topics",Lara  Parker(Goodreads Author),3.75,823,https://www.goodreads.com/book/show/50542443-vagina-problems
"Concrete Rose (The Hate U Give, #0)",Angie Thomas(Goodreads Author),4.41,"48,606",https://www.goodreads.com/book/show/52822210-concrete-rose
